"	Email",Address,Avatar,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,Clean_Address_Loc,Clean_Address_County
randyrobinson@hotmail.com,"14548 Hayes Isle Apt. 436Garciaville, IN 65366",DarkGray,13.46,36.34,5.57,689.79,IN 65366,IN
randywhite@armstrong.biz,"0506 Pitts ForksWoodsbury, AL 98082-8186",Teal,12.45,36.67,3.54,486.16,AL 98082-8186,AL
raylopez@hotmail.com,"3600 Amber Plains Suite 002North Jamesburgh, VA 07917",DarkGoldenRod,11.83,36.63,4.19,514.09,VA 07917,VA
rayvanessa@fischer.com,"2583 Mark SpringsLake Robert, AL 40928",White,13.03,37.08,2.63,493.18,AL 40928,AL
rcarter@crane-thompson.org,"14064 Frazier Hills Apt. 176Amyborough, MP 77858-0018",MediumVioletRed,11.92,37.32,3.34,503.18,MP 77858-0018,MP
rchambers@hotmail.com,"53964 Weaver Brook Suite 861Stevensonshire, NY 18128",OliveDrab,13.09,38.32,4.75,632.12,NY 18128,NY
rebecca45@hale-bauer.biz,"8982 Burton RowWilsonton, PW 88606",OliveDrab,12.01,38.39,2.42,407.7,PW 88606,PW
rhaas@yahoo.com,"4502 Jennifer Prairie Suite 029Lake Jesse, LA 02328-3633",DimGray,12.71,36.17,2.56,444.55,LA 02328-3633,LA
rhonda01@gmail.com,"939 Watson RunStaceyberg, VT 58376-0454",Orchid,12.73,36.23,5.71,708.94,VT 58376-0454,VT
rhonda96@little.org,"2977 Perez RowLake Jack, TN 45336-9436",GhostWhite,11.73,37.53,4.67,532.75,TN 45336-9436,TN
richard16@boyer-pratt.com,"4568 Jeffrey Lane Apt. 512South Jason, WV 78116-0966",LightSteelBlue,11.63,36.18,5.11,536.77,WV 78116-0966,WV
richard35@hale-duncan.net,"33940 Craig Throughway Apt. 334Martinview, IL 62015-0314",GhostWhite,12.85,37.87,3.42,484.88,IL 62015-0314,IL
richard81@day.org,"7955 Samantha Walk Suite 230North Luis, IL 44629",SlateBlue,11.76,37.57,3.83,514.34,IL 44629,IL
rileyalejandro@gmail.com,"Unit 1475 Box 4215DPO ,AE 39546-5591",LightSteelBlue,10.05,37.18,3.54,392.99,AE 39546-5591,AE
riverarebecca@gmail.com,"1414 David ThroughwayPort Jason, OH 22070-1220",SaddleBrown,13.72,36.72,3.12,581.85,OH 22070-1220,OH
rjohns@gmail.com,"264 Derek Dam Apt. 680West Danielle, SD 91517-8611",DeepPink,11.83,36.81,3.47,496.65,SD 91517-8611,SD
rlindsey@norris.com,"581 Smith Prairie Suite 995Andersontown, AS 58802",Green,11.54,37.53,2.92,431.62,AS 58802,AS
robertramirez@kaiser.com,"1583 Anderson CovesEast Rebecca, NH 27212",Purple,10.61,37.98,3.54,461.79,NH 27212,NH
robin80@yahoo.com,"928 Bailey RoadEast Mary, DE 11678-5634",Turquoise,13.3,36.39,4.49,630.16,DE 11678-5634,DE
roblessarah@hotmail.com,"022 Taylor Mews Suite 692Hallberg, NJ 53614",MediumSeaGreen,12.04,37.64,4.63,612.39,NJ 53614,NJ
rogersheather@hamilton-jensen.org,"510 Michele PortEast Angela, HI 23618",MintCream,13.04,36.31,2.02,447.19,HI 23618,HI
rogerstiffany@wilson-horne.com,"30700 Justin PortsPort David, PA 52171-5921",DarkOliveGreen,11.57,38.92,4.08,537.83,PA 52171-5921,PA
rojasmichael@wagner-thomas.com,"7602 Scott Plaza Apt. 158Lake Amberland, VI 10516-3276",DarkKhaki,12.83,36.95,4.57,547.13,VI 10516-3276,VI
rskinner@johnson-jefferson.com,"24725 Neal LockCynthiaville, NY 51578",OliveDrab,12.59,37.68,2.57,444.58,NY 51578,NY
russellbaldwin@ferrell.info,"295 Michael Keys Apt. 706Ericfurt, KS 09476",Orange,14.07,38.99,4.98,660.43,KS 09476,KS
rwilliams@trujillo.biz,"54560 Thompson Creek Apt. 029New Brianville, FL 84430-8588",BlanchedAlmond,13.27,37.24,4.02,530.77,FL 84430-8588,FL
ryan36@gmail.com,"5379 Rhonda Prairie Apt. 696Brownland, WA 87027",DarkTurquoise,13.73,38,4.8,613.6,WA 87027,WA
ryanwerner@freeman.biz,"Unit 2413 Box 0347DPO ,AA 07580-2652",Tomato,11.58,37.09,3.71,522.34,AA 07580-2652,AA
salazarkaren@hotmail.com,"51173 Burton Wall Apt. 417Prestonville, NY 37002",SteelBlue,10.29,36.93,3.49,392.29,NY 37002,NY
samantha84@cortez.com,"960 Miller UnionEast Virginiastad, MS 74191-2346",Navy,10.53,37.03,2.21,378.47,MS 74191-2346,MS
samuel46@love-west.net,"544 Alexander Heights Suite 768North Johnview, MT 57912",LightSeaGreen,13.99,37.19,4.06,605.06,MT 57912,MT
samuel94@hotmail.com,"5480 Vazquez Crossing Suite 825East Christopherland, PA 42104",DarkViolet,12.54,38.31,3.77,536.42,PA 42104,PA
sanchezamber@scott-patterson.com,"257 Hunt ManorsSouth Charlottefort, CT 15033",Fuchsia,14.13,37.02,3.76,571.22,CT 15033,CT
sanchezkara@hotmail.com,"40494 Robert ParkHeatherside, IL 70364",SlateBlue,11.11,38.59,3.89,502.41,IL 70364,IL
sandraharrison@bailey-gordon.net,"7835 Rogers RoadsEast Amberhaven, MI 70835-2286",LightSeaGreen,11.98,37.04,3.45,490.74,MI 70835-2286,MI
sarahtran@dixon.com,"770 Katie Walk Apt. 585Port David, MN 52850",GoldenRod,11.94,35.78,3.31,538.94,MN 52850,MN
scastillo@hotmail.com,"0922 Gutierrez LoafWattsbury, OH 96315",Moccasin,11.11,37.39,4.02,514.24,OH 96315,OH
schmidtdenise@hotmail.com,"06392 Matthew Viaduct Suite 000Lake Ronald, NY 45787-0181",DarkGoldenRod,12.89,36.53,4.59,614.73,NY 45787-0181,NY
scottrose@yahoo.com,"50639 Sarah Isle Apt. 268Yangmouth, MO 05540",SaddleBrown,11.23,37.21,2.32,397.42,MO 05540,MO
sfarley@jones.com,"0554 Powers CurveNathanchester, FL 06878-6336",AntiqueWhite,12.06,37.69,3.51,483.8,FL 06878-6336,FL
shafferdaniel@murphy-harris.info,"USCGC ThomasFPO ,AP 43708-2468",Turquoise,10.88,37.78,1.91,338.32,AP 43708-2468,AP
sharon82@saunders.info,"873 Clay Flats Apt. 810Lake Kyle, GU 48782",DarkGreen,12.6,39.6,3.75,489.81,GU 48782,GU
sharongraves@yahoo.com,"73098 Ronald PortCliffordborough, MO 37479-9244",Wheat,12.56,37.81,0.27,314.44,MO 37479-9244,MO
sharper@yahoo.com,"239 Bush Fall Apt. 906Riveraville, KY 88906-3319",SandyBrown,13.4,37.29,3.61,585.93,KY 88906-3319,KY
simmonsmartin@hardy.com,"2302 Joshua ParkMillerbury, WA 30239-8144",MediumVioletRed,12.49,36.05,4.33,590.56,WA 30239-8144,WA
smithtracey@mcgee.com,"PSC 4508, Box 7961APO AA 55271-2375",DarkOliveGreen,12.65,38.47,2.87,522.4,Box 7961APO AA 55271-2375,Bo
solischristina@gmail.com,"43102 Russo View Suite 717Hollyport, SC 15344",SlateBlue,12.42,35.98,3.25,472.99,SC 15344,SC
stephaniehill@hotmail.com,"8248 Parker Overpass Apt. 024Lake Pamela, WY 44322-1735",Wheat,12.95,37.11,3.69,533.04,WY 44322-1735,WY
steven00@combs.com,"64460 Morris FordsGonzalesmouth, MI 40832",RosyBrown,12.96,37.95,3.35,547.19,MI 40832,MI
stevenanderson@yahoo.com,"5401 Holt Corner Apt. 195Hannahstad, NC 86693-3595",LightGreen,10.34,36.16,4.4,533.51,NC 86693-3595,NC
stevenjohnson@yahoo.com,"PSC 4427, Box 6116APO AP 87584-5187",SandyBrown,11.23,37,3.78,467.8,Box 6116APO AP 87584-5187,Bo
stevenking@patterson.com,"94730 Martin MountNew Matthew, VI 08142-6708",LightGray,12.4,35.01,0.97,357.59,VI 08142-6708,VI
susanibarra@yahoo.com,"426 Scott Radial Apt. 065Abigailstad, MS 16590-2222",Thistle,14.12,38.41,5.32,689.24,MS 16590-2222,MS
suzanne63@gmail.com,"229 Eric MountainsNew Caleb, PA 00396",LightSalmon,10.73,36.15,4.09,478.26,PA 00396,PA
swilliams@ball-arroyo.com,"450 Samantha ValleysCollinsborough, KS 37205-9891",Orchid,13.04,36.66,3.46,514.01,KS 37205-9891,KS
tadams@contreras.info,"049 Matthew TerraceLake Matthew, MS 20210",Aqua,12.7,35.36,4,553.6,MS 20210,MS
tammy12@gmail.com,"78297 Brown Street Apt. 786East Taylorfurt, AK 97246",Chocolate,12.58,35.44,3.14,527.78,AK 97246,AK
tammyjones@griffin.com,"0859 Audrey IsleSouth Zachary, AS 09138",Navy,9.85,36.88,3.81,423.31,AS 09138,AS
tanya20@gmail.com,"69279 Stewart MountainsSouth Pamela, KS 22541-3414",DarkKhaki,11.16,37.09,3.62,430.59,KS 22541-3414,KS
taylor91@hotmail.com,"3132 Willie HarborKaylafurt, FL 01107",CadetBlue,13.09,35.85,2.93,497.51,FL 01107,FL
taylorjared@foster.net,"601 Mitchell Estates Suite 922Port Daniel, WV 83595",Crimson,11.74,36.85,2.18,376.5,WV 83595,WV
taylorkimberly@yahoo.com,"0030 Mathis Square Suite 154South Jadehaven, AR 33997-4450",Gainsboro,12.73,35.97,5,591.78,AR 33997-4450,AR
taylormason@gmail.com,"7773 Powell Springs Suite 190Samanthaland, ND 44358",DarkBlue,13.15,36.62,2.49,470.45,ND 44358,ND
teresaallen@hill-leach.info,"1958 Robert Bridge Apt. 250Malloryland, ID 03393-5336",WhiteSmoke,12.49,36.37,4.22,537.85,ID 03393-5336,ID
teresapacheco@salinas.biz,"75805 Larry MillsEast Cristian, MH 53820",DarkMagenta,12.72,37.66,3.68,513.45,MH 53820,MH
thardy@perry.com,"39209 Cooper Neck Apt. 541Tylermouth, ME 94450",SeaGreen,10.97,34.57,2.93,414.94,ME 94450,ME
theresamitchell@martin-chambers.biz,"157 Linda RoadsNew Jimmyshire, MH 51942",Khaki,12.46,37.43,2.97,440,MH 51942,MH
thomas22@yahoo.com,"7346 Jennifer Green Suite 148Wagnertown, MT 65972",IndianRed,11.94,35.9,4.54,558.95,MT 65972,MT
thomasgeorge@gonzalez-grant.com,"93306 Donald GreensNew Christopherbury, SC 59447",FloralWhite,11.74,36.6,3.96,448.93,SC 59447,SC
thomaswendy@yahoo.com,"449 Amanda TunnelJoshuahaven, CO 15377",LavenderBlush,11.95,36.19,3.21,432.72,CO 15377,CO
tina16@santiago.com,"314 Kidd RunJohnfort, KS 46546-2732",White,12.59,37.33,2.8,476.14,KS 46546-2732,KS
tinasmith@martinez.info,"40000 Ann Port Suite 474Youngberg, MS 03651",LemonChiffon,11.98,35.29,3.92,529.54,MS 03651,MS
tinayoung@hotmail.com,"83995 Owens Course Apt. 747South Jennifer, NJ 29942",MistyRose,11.91,36.09,4,583.08,NJ 29942,NJ
tknapp@yahoo.com,"15810 Karl PlainDavidville, TX 64072",MediumSpringGreen,12.18,37.72,3.72,492.95,TX 64072,TX
tluna@hotmail.com,"01512 Hendricks RueEast Pamela, PR 46481",YellowGreen,11.39,38.2,4.81,533.4,PR 46481,PR
tracy79@wheeler.net,"513 Moore Crescent Apt. 416Amandaberg, GU 03655-2219",Magenta,11.31,37.13,1.71,327.38,GU 03655-2219,GU
tsmith@yahoo.com,"92028 Thomas Mountains Suite 044New Matthew, MI 02429-0994",Bisque,12.28,38.3,1.13,385.1,MI 02429-0994,MI
turnerryan@hotmail.com,"770 Lewis Pike Apt. 869Phelpsport, PA 93969-4887",LightSkyBlue,12.47,35.04,4.06,578.99,PA 93969-4887,PA
twilliams@gibbs.net,"Unit 6678 Box 6628DPO ,AP 44369",CadetBlue,11.8,37.66,4.52,550.05,AP 44369,AP
tylerhernandez@barton.info,"7613 Miguel Knoll Suite 762West Katherine, WV 19406",SlateGray,11.2,38.69,3.09,392.5,WV 19406,WV
ulee@wells.com,"309 Singleton HollowMatthewhaven, NJ 68776-7477",LemonChiffon,12.04,34.49,2.74,458.78,NJ 68776-7477,NJ
vancealicia@hotmail.com,"06307 Scott Spurs Suite 161Jessicaburgh, NH 26093-5908",RoyalBlue,14.29,36.77,2.96,501.12,NH 26093-5908,NH
vancemichelle@gmail.com,"6586 Reginald Crest Apt. 061North Josephfort, NM 55275",DeepPink,12.42,36.16,3.22,482.83,NM 55275,NM
vchurch@walter-martinez.com,"860 Lee KeyWest Debra, SD 97450-0495",Salmon,13.39,37.53,3.27,570.2,SD 97450-0495,SD
vcoleman@yahoo.com,"7761 Hughes Curve Apt. 880Rodriguezberg, MN 96206-5317",SkyBlue,12.5,38.05,4.64,616.85,MN 96206-5317,MN
veronicapruitt@hotmail.com,"Unit 7502 Box 8345DPO ,AE 53747",Cyan,11.66,36.55,3.36,479.61,AE 53747,AE
vickie90@lee-wilson.com,"9135 Rodriguez DamRamirezberg, MS 77223",DarkSeaGreen,11.63,35.37,4.12,507.44,MS 77223,MS
victoria53@hotmail.com,"16329 Sara Neck Apt. 463Bryanside, TX 62329",Pink,12.18,35.67,4.13,537.77,TX 62329,TX
victoriajohnson@gmail.com,"2082 Christopher Place Apt. 081Cynthiahaven, HI 99393-8910",DarkViolet,11.02,37.64,4.14,511.04,HI 99393-8910,HI
vmartin@yahoo.com,"30242 Rubio ForestPort Kyleland, VA 18339-5779",Turquoise,14.22,37.52,4.08,647.62,VA 18339-5779,VA
vstafford@hotmail.com,"PSC 5723, Box 8159APO AA 74738",Olive,13.38,38.73,2.25,436.52,Box 8159APO AA 74738,Bo
wagnerbrian@hotmail.com,"50593 Wells Roads Apt. 110South Amy, MI 06969-2026",AliceBlue,11.8,37.78,3.2,468.67,MI 06969-2026,MI
walkererica@scott.com,"86536 Barnes TrackSouth Kyle, MT 21570-5606",MediumAquaMarine,13.16,36.41,3.02,506.54,MT 21570-5606,MT
walkerlaura@peterson-yates.com,"89154 Jones Stream Suite 311East Katie, NC 72742-1516",LightGreen,11.89,36.27,2.6,444.97,NC 72742-1516,NC
waltercharles@sanders.net,"291 Stephen Glens Apt. 532Jacquelineton, NJ 53606-5656",IndianRed,11.97,37.2,2.83,408.22,NJ 53606-5656,NJ
waltonkaren@gmail.com,"355 Villegas Isle Apt. 070West Jenniferview, NM 26775-4339",Green,10.89,35.57,6.12,669.99,NM 26775-4339,NM
wandaphillips@leonard.com,"149 Monica Vista Apt. 908Jasonberg, TX 19632-8886",OliveDrab,11.47,35.68,1.81,374.27,TX 19632-8886,TX
wbrady@yahoo.com,"044 Riggs ExpresswayLake Stevenchester, AL 22283",SandyBrown,9.98,35.93,3.86,451.46,AL 22283,AL
webertom@phelps.com,"189 Crawford Hill Apt. 746New Madison, WV 14108-4333",DarkOrchid,12.13,35.46,3.07,423.47,WV 14108-4333,WV
welchashlee@hotmail.com,"PSC 8159, Box 3254APO AP 71071-4890",GreenYellow,12.7,36.1,2.72,482.35,Box 3254APO AP 71071-4890,Bo
wellsjuan@schroeder.com,"0338 Francis JunctionLake Alexstad, NH 14302",Green,11.23,35.67,3.76,446.42,NH 14302,NH
wesleyvance@moore.com,"210 Johnson Street Suite 717New Bethanyborough, MO 84817",Magenta,10.81,36.01,3.7,483.54,MO 84817,MO
wevans@gmail.com,"222 Jason ParkDominguezshire, NC 98241",Tan,13.38,36.34,4.37,545.95,NC 98241,NC
wheelernancy@hernandez.com,"66340 Michael Lane Suite 878West Brian, LA 69137-1147",Gold,12.97,38.3,1.2,368.65,LA 69137-1147,LA
whess@hotmail.com,"29282 Alexander StreetSouth Andrewmouth, MS 22041",Tomato,11.22,37.69,2.59,413.37,MS 22041,MS
whitetyler@anderson-avery.com,"4547 Stafford Throughway Apt. 178North Patrick, MD 60768-4837",MidnightBlue,11.59,36.46,4.65,574.42,MD 60768-4837,MD
william25@mcconnell.com,"9495 Mary Fall Apt. 777Glassport, ND 17957-5596",Teal,11.77,37.74,2.72,423.18,ND 17957-5596,ND
william28@gmail.com,"16763 Melissa Creek Suite 367North Keithland, PW 29458",Cyan,11.57,36.91,2.47,398.16,PW 29458,PW
william82@gmail.com,"11143 Park SquaresSamanthatown, UT 97073",SandyBrown,13.86,37.78,5.98,725.58,UT 97073,UT
williammoore@rose.com,"686 Baker Fords Suite 893East John, IL 50171-9547",Brown,13.03,37.87,4.69,610.13,IL 50171-9547,IL
williamsjohnny@ferguson.info,"51920 Kent Junctions Apt. 352Walkerport, NY 11257-6647",LightYellow,12.82,37.03,3.85,534.78,NY 11257-6647,NY
willie26@johnson-howard.com,"97686 Robertson Cape Suite 607Port Veronicaside, NE 47293",Wheat,12.64,38,5.04,594.27,NE 47293,NE
wjennings@gmail.com,"6362 Wilson MountainJohnsonfurt, GA 15169",PowderBlue,11.73,34.89,3.14,457.85,GA 15169,GA
wrightdanielle@gmail.com,"508 May HighwayPort Jacobview, MN 31932",DarkSalmon,10.99,37.37,3.5,441.9,MN 31932,MN
wrightpeter@yahoo.com,"05302 Dunlap FerryNew Stephaniehaven, MP 42268",Bisque,12.96,36.14,3.92,573.42,MP 42268,MP
xevans@hotmail.com,"13164 Miller CampSouth Deannaberg, ID 85433",DarkMagenta,12.69,36.05,2.14,444.58,ID 85433,ID
xkaufman@gmail.com,"02342 Melissa IslandsSmithhaven, KS 68335",DarkViolet,10.57,36.86,4.2,537.92,KS 68335,KS
youngbarbara@yahoo.com,"019 Elliott Tunnel Suite 190Nicholsbury, WV 60804-4440",Wheat,12.89,37.64,5.71,700.92,WV 60804-4440,WV
youngellen@hotmail.com,"994 Joel Highway Suite 216New Jessicafort, UT 14179",DodgerBlue,12.94,36.73,4.56,544.41,UT 14179,UT
yvaughn@meyer.com,"9863 Dawn Court Suite 429Lake Connie, MI 12238",OldLace,11.83,36.84,3.61,502.09,MI 12238,MI
zachary94@gmail.com,"99902 Scott RoadJoyton, MT 46760-7400",Purple,11.68,38.72,3.59,463.59,MT 46760-7400,MT
zmalone@yahoo.com,"PSC 6717, Box 7673APO AE 66950-0088",Moccasin,12.75,36.71,3.28,548.28,Box 7673APO AE 66950-0088,Bo
zscott@wright.com,"9909 Hoffman Ranch Suite 195Scotthaven, SC 53575",PeachPuff,12.13,38.19,4.02,597.74,SC 53575,SC
